  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.68393520            0.00000000        5261.47657561       -45644.50292983       -40383.02635421 
  5.0000e-15           98.82433408            0.00000000        5216.10546169       -45553.66573507       -40337.56027339 
  1.0000e-14           97.41657222            0.00000000        5141.80155304       -45404.90672254       -40263.10516949 
  1.5000e-14           95.48544903            0.00000000        5039.87380105       -45200.84044316       -40160.96664211 
  2.0000e-14           93.06556263            0.00000000        4912.14834939       -44945.11503717       -40032.96668779 
  2.5000e-14           90.20176024            0.00000000        4760.99230663       -44642.46052807       -39881.46822144 
  3.0000e-14           86.94955760            0.00000000        4589.33588076       -44298.73408105       -39709.39820029 
  3.5000e-14           83.37538796            0.00000000        4400.68552521       -43920.94751483       -39520.26198962 
  4.0000e-14           79.55651151            0.00000000        4199.11915474       -43517.25912154       -39318.13996680 
  4.5000e-14           75.58039535            0.00000000        3989.25342296       -43096.90963797       -39107.65621501 
  5.0000e-14           71.54337500            0.00000000        3776.17307082       -42670.08215281       -38893.90908200 
  5.5000e-14           67.54844123            0.00000000        3565.31411563       -42247.66916956       -38682.35505394 
  6.0000e-14           63.70207351            0.00000000        3362.29671232       -41840.93813644       -38478.64142412 
  6.5000e-14           60.11016458            0.00000000        3172.71004875       -41461.09988343       -38288.38983468 
  7.0000e-14           56.87324088            0.00000000        3001.86006951       -41118.80147207       -38116.94140255 
  7.5000e-14           54.08135103            0.00000000        2854.49968465       -40823.58300032       -37969.08331567 
  8.0000e-14           51.80912907            0.00000000        2734.56819753       -40583.35239674       -37848.78419921 
  8.5000e-14           50.11159520            0.00000000        2644.96966097       -40403.93841165       -37758.96875069 
  9.0000e-14           49.02120678            0.00000000        2587.41722678       -40288.77672325       -37701.35949647 
  9.5000e-14           48.54651723            0.00000000        2562.36235763       -40238.76742600       -37676.40506836 
  1.0000e-13           48.67257374            0.00000000        2569.01582082       -40252.31785052       -37683.30202971 
  1.0500e-13           49.36294299            0.00000000        2605.45460705       -40325.55868927       -37720.10408222 
  1.1000e-13           50.56305203            0.00000000        2668.79827019       -40452.69983101       -37783.90156082 
  1.1500e-13           52.20440815            0.00000000        2755.43165575       -40626.47918300       -37871.04752726 
  1.2000e-13           54.20922624            0.00000000        2861.24914201       -40838.65418096       -37977.40503895 
  1.2500e-13           56.49503309            0.00000000        2981.89766107       -41080.49017985       -38098.59251878 
  1.3000e-13           58.97890733            0.00000000        3113.00049223       -41343.20958367       -38230.20909145 
  1.3500e-13           61.58112366            0.00000000        3250.34960727       -41618.37731314       -38368.02770586 
  1.4000e-13           64.22807627            0.00000000        3390.05997390       -41898.20956342       -38508.14958952 
  1.4500e-13           66.85444584            0.00000000        3528.68393562       -42175.80226451       -38647.11832889 
  1.5000e-13           69.40464059            0.00000000        3663.28726836       -42445.28261480       -38781.99534643 
  1.5500e-13           71.83358412            0.00000000        3791.49076962       -42701.89154130       -38910.40077167 
  1.6000e-13           74.10694637            0.00000000        3911.48244332       -42942.00731890       -39030.52487558 
  1.6500e-13           76.20092083            0.00000000        4022.00574418       -43163.12134998       -39141.11560580 
  1.7000e-13           78.10164854            0.00000000        4122.32917459       -43363.77673545       -39241.44756086 
  1.7500e-13           79.80437895            0.00000000        4212.20199246       -43543.47917586       -39331.27718340 
  1.8000e-13           81.31244413            0.00000000        4291.80007008       -43702.58828300       -39410.78821292 
  1.8500e-13           82.63610884            0.00000000        4361.66519791       -43842.19587303       -39480.53067511 
  1.9000e-13           83.79134657            0.00000000        4422.64048185       -43963.99651039       -39541.35602853 
  1.9500e-13           84.79858291            0.00000000        4475.80401746       -44070.15463942       -39594.35062196 
  2.0000e-13           85.68144269            0.00000000        4522.40275984       -44163.17211716       -39640.76935732 
  2.0500e-13           86.46553509            0.00000000        4563.78840335       -44245.75976335       -39681.97136000 
  2.1000e-13           87.17731089            0.00000000        4601.35706140       -44320.71650911       -39719.35944771 
  2.1500e-13           87.84302482            0.00000000        4636.49450105       -44390.81966651       -39754.32516546 
  2.2000e-13           88.48783405            0.00000000        4670.52855763       -44458.72959009       -39788.20103246 
  2.2500e-13           89.13505817            0.00000000        4704.69007530       -44526.91144598       -39822.22137068 
  2.3000e-13           89.80561771            0.00000000        4740.08327404       -44597.57590895       -39857.49263491 
  2.3500e-13           90.51765739            0.00000000        4777.66586027       -44672.63943199       -39894.97357172 
  2.4000e-13           91.28634754            0.00000000        4818.23854870       -44753.70342029       -39935.46487159 
  2.4500e-13           92.12384590            0.00000000        4862.44304339       -44842.05038836       -39979.60734497 
  2.5000e-13           93.03939217            0.00000000        4910.76703115       -44938.65418014       -40027.88714899 
  2.5500e-13           94.03950248            0.00000000        4963.55444312       -45044.20073272       -40080.64628960 
  2.6000e-13           95.12822919            0.00000000        5021.01916951       -45159.11572474       -40138.09655523 
  2.6500e-13           96.30745451            0.00000000        5083.26055698       -45283.59574649       -40200.33518951 
  2.7000e-13           97.57719210            0.00000000        5150.27932555       -45417.64025425       -40267.36092870 
  2.7500e-13           98.93587816            0.00000000        5221.99293579       -45561.08237148       -40339.08943569 
  2.8000e-13          100.38064127            0.00000000        5298.24982956       -45713.61739478       -40415.36756522 
  2.8500e-13          101.90754587            0.00000000        5378.84228184       -45874.82849776       -40495.98621592 
  2.9000e-13          103.51180814            0.00000000        5463.51779491       -46044.20951170       -40580.69171678 
  2.9500e-13          105.18798439            0.00000000        5551.98904184       -46221.18480722       -40669.19576538 
